Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
Indianapolis,Jacksonville,10/02/2016,Walt Anderson,18,223,7,78,11,145,22,4,2016
Carolina,Atlanta,10/02/2016,John Hussey,14,132,6,55,8,77,18,4,2016
Oakland,Baltimore,10/02/2016,Ed Hochuli,22,198,12,93,10,105,25,4,2016
Detroit,Chicago,10/02/2016,Tony Corrente,18,131,10,76,8,55,22,4,2016
Tennessee,Houston,10/02/2016,Clete Blakeman,17,152,11,93,6,59,19,4,2016
Buffalo,New England,10/02/2016,Pete Morelli,15,134,6,60,9,74,24,4,2016
Seattle,N.Y. Jets,10/02/2016,Carl Cheffers,14,131,7,71,7,60,16,4,2016
Cleveland,Washington,10/02/2016,Jeff Triplette,16,176,7,101,9,75,22,4,2016
Denver,Tampa Bay,10/02/2016,Jerome Boger,18,157,9,88,9,69,19,4,2016
LA Rams,Arizona,10/02/2016,Gene Steratore,15,129,9,84,6,45,18,4,2016
New Orleans,San Diego,10/02/2016,Walt Coleman,11,80,6,34,5,46,13,4,2016
Dallas,San Francisco,10/02/2016,Terry McAulay,11,77,6,45,5,32,11,4,2016
Kansas City,Pittsburgh,10/02/2016,Ron Torbert,16,108,7,40,9,68,17,4,2016
N.Y. Giants,Minnesota,10/03/2016,Brad Allen,14,106,8,69,6,37,15,4,2016
Arizona,San Francisco,10/06/2016,Carl Cheffers,11,84,7,50,4,34,15,5,2016
Washington,Baltimore,10/09/2016,Ron Torbert,13,111,4,46,9,65,14,5,2016
New England,Cleveland,10/09/2016,Bill Vinovich,10,96,5,61,5,35,13,5,2016
Philadelphia,Detroit,10/09/2016,Pete Morelli,16,129,14,111,2,18,17,5,2016
Chicago,Indianapolis,10/09/2016,John Hussey,19,148,10,80,9,68,20,5,2016
Tennessee,Miami,10/09/2016,Craig Wrolstad,13,123,5,40,8,83,16,5,2016
Houston,Minnesota,10/09/2016,Jeff Triplette,13,112,4,15,9,97,14,5,2016
N.Y. Jets,Pittsburgh,10/09/2016,John Parry,5,28,4,18,1,10,10,5,2016
Atlanta,Denver,10/09/2016,Terry McAulay,15,135,7,78,8,57,17,5,2016
Cincinnati,Dallas,10/09/2016,Tony Corrente,13,94,6,49,7,45,13,5,2016
Buffalo,LA Rams,10/09/2016,Walt Coleman,13,100,7,60,6,40,14,5,2016
San Diego,Oakland,10/09/2016,Gene Steratore,10,74,4,38,6,36,11,5,2016
N.Y. Giants,Green Bay,10/09/2016,Ed Hochuli,12,108,6,51,6,57,18,5,2016
Tampa Bay,Carolina,10/10/2016,Clete Blakeman,12,100,5,40,7,60,13,5,2016
Denver,San Diego,10/13/2016,Craig Wrolstad,15,123,12,103,3,20,16,6,2016
San Francisco,Buffalo,10/16/2016,Gene Steratore,13,123,6,52,7,71,14,6,2016
Jacksonville,Chicago,10/16/2016,Clete Blakeman,15,137,5,50,10,87,18,6,2016
LA Rams,Detroit,10/16/2016,John Hussey,15,124,8,62,7,62,19,6,2016
Pittsburgh,Miami,10/16/2016,Ed Hochuli,14,160,6,65,8,95,18,6,2016
Cincinnati,New England,10/16/2016,Ron Torbert,13,101,7,46,6,55,13,6,2016
Carolina,New Orleans,10/16/2016,Walt Anderson,15,177,5,51,10,126,19,6,2016
Baltimore,N.Y. Giants,10/16/2016,Jeff Triplette,22,230,15,111,7,119,23,6,2016
Cleveland,Tennessee,10/16/2016,Carl Cheffers,18,165,11,69,7,96,20,6,2016
Philadelphia,Washington,10/16/2016,John Parry,22,189,13,114,9,75,23,6,2016
Kansas City,Oakland,10/16/2016,Pete Morelli,5,35,2,10,3,25,9,6,2016
Dallas,Green Bay,10/16/2016,Brad Allen,12,83,7,60,5,23,12,6,2016
Atlanta,Seattle,10/16/2016,Tony Corrente,11,96,8,66,3,30,11,6,2016
Indianapolis,Houston,10/16/2016,Bill Vinovich,14,101,7,42,7,59,16,6,2016
N.Y. Jets,Arizona,10/17/2016,Jerome Boger,19,147,10,83,9,64,23,6,2016
Chicago,Green Bay,10/20/2016,John Parry,19,164,10,108,9,56,21,7,2016
N.Y. Giants,LA Rams,10/23/2016,Ron Torbert,11,76,3,33,8,43,16,7,2016
Cleveland,Cincinnati,10/23/2016,Ed Hochuli,8,65,5,35,3,30,9,7,2016
Washington,Detroit,10/23/2016,Walt Coleman,8,50,4,20,4,30,9,7,2016
Oakland,Jacksonville,10/23/2016,Jeff Triplette,24,239,11,117,13,122,35,7,2016
New Orleans,Kansas City,10/23/2016,Clete Blakeman,14,105,10,75,4,30,17,7,2016
Buffalo,Miami,10/23/2016,Brad Allen,19,161,6,45,13,116,25,7,2016
Baltimore,N.Y. Jets,10/23/2016,Walt Anderson,8,60,4,35,4,25,8,7,2016
Minnesota,Philadelphia,10/23/2016,John Hussey,14,109,7,56,7,53,18,7,2016
Indianapolis,Tennessee,10/23/2016,Jerome Boger,18,169,12,131,6,38,18,7,2016
San Diego,Atlanta,10/23/2016,Bill Vinovich,12,84,3,14,9,70,14,7,2016
Tampa Bay,San Francisco,10/23/2016,Pete Morelli,11,109,7,78,4,31,14,7,2016
New England,Pittsburgh,10/23/2016,Craig Wrolstad,14,125,4,40,10,85,17,7,2016
Seattle,Arizona,10/23/2016,Terry McAulay,16,135,10,90,6,45,24,7,2016
Houston,Denver,10/24/2016,Carl Cheffers,9,98,2,15,7,83,12,7,2016
Jacksonville,Tennessee,10/27/2016,John Hussey,14,129,7,75,7,54,15,8,2016
Washington,Cincinnati,10/30/2016,Carl Cheffers,22,191,15,106,7,85,28,8,2016
Green Bay,Atlanta,10/30/2016,Walt Anderson,13,114,6,68,7,46,17,8,2016
New England,Buffalo,10/30/2016,John Parry,22,200,10,116,12,84,23,8,2016
N.Y. Jets,Cleveland,10/30/2016,Pete Morelli,7,47,5,37,2,10,8,8,2016
Detroit,Houston,10/30/2016,Brad Allen,14,124,8,75,6,49,16,8,2016
Kansas City,Indianapolis,10/30/2016,Craig Wrolstad,11,85,6,40,5,45,12,8,2016
Seattle,New Orleans,10/30/2016,Ed Hochuli,13,86,11,76,2,10,14,8,2016
Oakland,Tampa Bay,10/30/2016,Terry McAulay,29,264,23,200,6,64,34,8,2016
San Diego,Denver,10/30/2016,Tony Corrente,14,97,8,52,6,45,20,8,2016
Arizona,Carolina,10/30/2016,Walt Coleman,15,128,10,88,5,40,20,8,2016
Philadelphia,Dallas,10/30/2016,Jerome Boger,16,124,5,40,11,84,18,8,2016
Minnesota,Chicago,10/31/2016,Gene Steratore,3,30,1,10,2,20,5,8,2016
Atlanta,Tampa Bay,11/03/2016,Ron Torbert,17,119,6,34,11,85,21,9,2016
Denver,Oakland,11/06/2016,Clete Blakeman,20,176,12,104,8,72,22,9,2016
Pittsburgh,Baltimore,11/06/2016,John Hussey,23,193,13,99,10,94,25,9,2016
Dallas,Cleveland,11/06/2016,Jeff Triplette,9,71,4,38,5,33,14,9,2016
Jacksonville,Kansas City,11/06/2016,Gene Steratore,13,121,5,46,8,75,15,9,2016
N.Y. Jets,Miami,11/06/2016,Walt Coleman,18,163,10,77,8,86,25,9,2016
Detroit,Minnesota,11/06/2016,Ed Hochuli,14,111,6,57,8,54,14,9,2016
Philadelphia,N.Y. Giants,11/06/2016,Bill Vinovich,9,73,4,43,5,30,12,9,2016
Carolina,LA Rams,11/06/2016,Terry McAulay,15,144,5,35,10,109,17,9,2016
New Orleans,San Francisco,11/06/2016,Jerome Boger,13,118,4,40,9,78,15,9,2016
Indianapolis,Green Bay,11/06/2016,Tony Corrente,8,60,4,35,4,25,13,9,2016
Tennessee,San Diego,11/06/2016,Brad Allen,22,164,8,57,14,107,25,9,2016
Buffalo,Seattle,11/07/2016,Walt Anderson,21,190,11,115,10,75,23,9,2016
Cleveland,Baltimore,11/10/2016,Jerome Boger,9,96,3,35,6,61,12,10,2016
Kansas City,Carolina,11/13/2016,Carl Cheffers,15,98,9,45,6,53,15,10,2016
Houston,Jacksonville,11/13/2016,Ron Torbert,8,137,4,89,4,48,14,10,2016
Denver,New Orleans,11/13/2016,Bill Vinovich,4,35,1,10,3,25,6,10,2016
LA Rams,N.Y. Jets,11/13/2016,Ed Hochuli,11,86,7,55,4,31,13,10,2016
Atlanta,Philadelphia,11/13/2016,Craig Wrolstad,18,144,8,67,10,77,18,10,2016
Chicago,Tampa Bay,11/13/2016,Walt Coleman,18,159,9,74,9,85,19,10,2016
Green Bay,Tennessee,11/13/2016,Jeff Triplette,19,172,12,107,7,65,26,10,2016
Minnesota,Washington,11/13/2016,Pete Morelli,8,70,4,35,4,35,9,10,2016
Miami,San Diego,11/13/2016,Terry McAulay,15,110,11,81,4,29,20,10,2016
San Francisco,Arizona,11/13/2016,Brad Allen,11,110,9,100,2,10,14,10,2016
Dallas,Pittsburgh,11/13/2016,Clete Blakeman,14,138,10,98,4,40,18,10,2016
Seattle,New England,11/13/2016,Gene Steratore,15,121,8,60,7,61,16,10,2016
Cincinnati,N.Y. Giants,11/14/2016,John Parry,11,75,9,60,2,15,12,10,2016
New Orleans,Carolina,11/17/2016,Pete Morelli,12,93,6,48,6,45,14,11,2016
Buffalo,Cincinnati,11/20/2016,Terry McAulay,13,100,9,75,4,25,19,11,2016
Pittsburgh,Cleveland,11/20/2016,Brad Allen,17,122,8,70,9,52,17,11,2016
Baltimore,Dallas,11/20/2016,John Parry,17,181,12,136,5,45,17,11,2016
Jacksonville,Detroit,11/20/2016,Bill Vinovich,9,57,4,25,5,32,11,11,2016
Tennessee,Indianapolis,11/20/2016,Walt Anderson,19,179,11,109,8,70,21,11,2016
Tampa Bay,Kansas City,11/20/2016,Ed Hochuli,12,72,7,42,5,30,12,11,2016
Arizona,Minnesota,11/20/2016,Clete Blakeman,18,169,8,96,10,73,19,11,2016
Chicago,N.Y. Giants,11/20/2016,Craig Wrolstad,9,75,5,40,4,35,9,11,2016
Miami,LA Rams,11/20/2016,Gene Steratore,16,152,8,82,8,70,24,11,2016
New England,San Francisco,11/20/2016,Jeff Triplette,15,108,5,40,10,68,16,11,2016
Philadelphia,Seattle,11/20/2016,Carl Cheffers,15,96,8,48,7,48,19,11,2016
Green Bay,Washington,11/20/2016,John Hussey,12,99,6,59,6,40,15,11,2016
Houston,Oakland,11/21/2016,Tony Corrente,11,122,7,101,4,21,15,11,2016
Minnesota,Detroit,11/24/2016,Carl Cheffers,9,56,5,40,4,16,10,12,2016
Washington,Dallas,11/24/2016,Craig Wrolstad,6,55,3,30,3,25,9,12,2016
Pittsburgh,Indianapolis,11/24/2016,Walt Coleman,9,77,7,67,2,10,11,12,2016
Arizona,Atlanta,11/27/2016,John Parry,12,83,8,60,4,23,12,12,2016
Cincinnati,Baltimore,11/27/2016,Clete Blakeman,10,84,2,15,8,69,13,12,2016
Jacksonville,Buffalo,11/27/2016,Tony Corrente,12,91,6,60,6,31,12,12,2016
Tennessee,Chicago,11/27/2016,Ed Hochuli,13,166,6,118,7,48,13,12,2016
N.Y. Giants,Cleveland,11/27/2016,Walt Anderson,14,135,9,100,5,35,15,12,2016
San Diego,Houston,11/27/2016,Jeff Triplette,19,136,10,78,9,58,23,12,2016
San Francisco,Miami,11/27/2016,Ron Torbert,11,107,7,65,4,42,14,12,2016
LA Rams,New Orleans,11/27/2016,John Hussey,12,107,6,62,6,45,17,12,2016
Seattle,Tampa Bay,11/27/2016,Bill Vinovich,9,95,2,27,7,68,11,12,2016
Kansas City,Denver,11/27/2016,Pete Morelli,24,168,9,71,15,97,26,12,2016
Carolina,Oakland,11/27/2016,Jerome Boger,14,113,7,67,7,46,17,12,2016
New England,N.Y. Jets,11/27/2016,Brad Allen,8,81,2,15,6,66,10,12,2016
Green Bay,Philadelphia,11/28/2016,Terry McAulay,14,93,7,51,7,42,16,12,2016
Dallas,Minnesota,12/01/2016,Tony Corrente,18,135,10,78,8,57,20,13,2016
Kansas City,Atlanta,12/04/2016,Walt Coleman,18,158,13,128,5,30,21,13,2016
Miami,Baltimore,12/04/2016,Carl Cheffers,14,125,7,57,7,68,16,13,2016
San Francisco,Chicago,12/04/2016,Pete Morelli,16,146,11,106,5,40,17,13,2016
Philadelphia,Cincinnati,12/04/2016,Jeff Triplette,13,111,10,88,3,23,13,13,2016
Houston,Green Bay,12/04/2016,Gene Steratore,7,42,3,12,4,30,7,13,2016
Denver,Jacksonville,12/04/2016,Craig Wrolstad,10,97,4,32,6,65,10,13,2016
LA Rams,New England,12/04/2016,Jerome Boger,12,76,4,30,8,46,14,13,2016
Detroit,New Orleans,12/04/2016,Clete Blakeman,16,122,6,39,10,83,20,13,2016
Buffalo,Oakland,12/04/2016,Bill Vinovich,15,138,8,73,7,65,15,13,2016
Washington,Arizona,12/04/2016,Walt Anderson,13,86,7,35,6,51,13,13,2016
N.Y. Giants,Pittsburgh,12/04/2016,Terry McAulay,16,139,4,24,12,115,19,13,2016
Tampa Bay,San Diego,12/04/2016,John Hussey,12,80,6,35,6,45,14,13,2016
Carolina,Seattle,12/04/2016,John Parry,12,100,6,63,6,37,16,13,2016
Indianapolis,N.Y. Jets,12/05/2016,Ron Torbert,9,118,3,28,6,90,9,13,2016
Oakland,Kansas City,12/08/2016,Terry McAulay,19,155,10,82,9,73,21,14,2016
Pittsburgh,Buffalo,12/11/2016,Pete Morelli,13,91,6,45,7,46,15,14,2016
San Diego,Carolina,12/11/2016,Ron Torbert,12,67,7,32,5,35,16,14,2016
Cincinnati,Cleveland,12/11/2016,Gene Steratore,11,77,6,43,5,34,13,14,2016
Chicago,Detroit,12/11/2016,Jeff Triplette,18,194,11,139,7,55,22,14,2016
Houston,Indianapolis,12/11/2016,Brad Allen,16,183,7,124,9,59,19,14,2016
Minnesota,Jacksonville,12/11/2016,John Hussey,21,207,7,93,14,114,24,14,2016
Arizona,Miami,12/11/2016,Jerome Boger,21,172,7,54,14,118,23,14,2016
Washington,Philadelphia,12/11/2016,Tony Corrente,10,140,5,86,5,54,10,14,2016
New Orleans,Tampa Bay,12/11/2016,Walt Anderson,20,169,13,104,7,65,23,14,2016
Denver,Tennessee,12/11/2016,John Parry,14,142,9,87,5,55,15,14,2016
N.Y. Jets,San Francisco,12/11/2016,Craig Wrolstad,12,81,9,56,3,25,16,14,2016
Seattle,Green Bay,12/11/2016,Walt Coleman,12,113,7,63,5,50,14,14,2016
Atlanta,LA Rams,12/11/2016,Clete Blakeman,16,145,5,40,11,105,19,14,2016
Dallas,N.Y. Giants,12/11/2016,Carl Cheffers,12,104,5,54,7,50,13,14,2016
Baltimore,New England,12/12/2016,Ed Hochuli,13,95,8,47,5,48,13,14,2016
LA Rams,Seattle,12/15/2016,Brad Allen,21,162,8,76,13,86,22,15,2016
Miami,N.Y. Jets,12/17/2016,Pete Morelli,12,112,9,70,3,42,14,15,2016
Philadelphia,Baltimore,12/18/2016,Craig Wrolstad,10,92,3,30,7,62,12,15,2016
Cleveland,Buffalo,12/18/2016,Clete Blakeman,9,93,4,51,5,42,11,15,2016
Green Bay,Chicago,12/18/2016,Ron Torbert,14,104,8,64,6,40,15,15,2016
Tampa Bay,Dallas,12/18/2016,Terry McAulay,11,126,3,35,8,91,11,15,2016
Jacksonville,Houston,12/18/2016,Ed Hochuli,18,162,12,91,6,71,21,15,2016
Tennessee,Kansas City,12/18/2016,John Hussey,7,65,2,25,5,40,11,15,2016
Indianapolis,Minnesota,12/18/2016,Jerome Boger,11,82,5,55,6,27,12,15,2016
Detroit,N.Y. Giants,12/18/2016,Tony Corrente,7,61,2,15,5,46,9,15,2016
New Orleans,Arizona,12/18/2016,Carl Cheffers,12,98,5,46,7,52,14,15,2016
San Francisco,Atlanta,12/18/2016,Gene Steratore,8,47,4,20,4,27,8,15,2016
New England,Denver,12/18/2016,Walt Anderson,9,79,4,30,5,49,15,15,2016
Oakland,San Diego,12/18/2016,John Parry,8,59,2,15,6,44,8,15,2016
Pittsburgh,Cincinnati,12/18/2016,Bill Vinovich,15,190,7,104,8,86,16,15,2016
Carolina,Washington,12/19/2016,Walt Coleman,13,132,6,62,7,70,15,15,2016
N.Y. Giants,Philadelphia,12/22/2016,Clete Blakeman,6,55,5,50,1,5,7,16,2016
Miami,Buffalo,12/24/2016,Craig Wrolstad,7,50,2,15,5,35,7,16,2016
Atlanta,Carolina,12/24/2016,Bill Vinovich,10,69,6,45,4,24,10,16,2016
Washington,Chicago,12/24/2016,Brad Allen,11,125,7,73,4,52,15,16,2016
San Diego,Cleveland,12/24/2016,Walt Coleman,13,136,9,92,4,44,15,16,2016
Minnesota,Green Bay,12/24/2016,Jeff Triplette,11,91,8,70,3,21,12,16,2016
Tennessee,Jacksonville,12/24/2016,Pete Morelli,10,94,6,49,4,45,11,16,2016
N.Y. Jets,New England,12/24/2016,Gene Steratore,9,97,6,77,3,20,10,16,2016
Indianapolis,Oakland,12/24/2016,Ed Hochuli,14,115,4,22,10,93,17,16,2016
San Francisco,LA Rams,12/24/2016,Walt Anderson,16,145,11,100,5,45,20,16,2016
Arizona,Seattle,12/24/2016,Ron Torbert,12,125,7,85,5,40,15,16,2016
Cincinnati,Houston,12/24/2016,Carl Cheffers,9,85,6,60,3,25,13,16,2016
Baltimore,Pittsburgh,12/25/2016,John Parry,11,140,7,95,4,45,14,16,2016
Denver,Kansas City,12/25/2016,Tony Corrente,17,135,9,70,8,65,21,16,2016
Detroit,Dallas,12/26/2016,John Hussey,13,109,5,62,8,47,17,16,2016
New Orleans,Atlanta,01/01/2017,Ron Torbert,15,133,6,70,9,63,15,17,2016
Baltimore,Cincinnati,01/01/2017,Pete Morelli,6,61,4,41,2,20,9,17,2016
Green Bay,Detroit,01/01/2017,Jerome Boger,15,105,10,75,5,30,20,17,2016
Jacksonville,Indianapolis,01/01/2017,Clete Blakeman,12,89,8,54,4,35,12,17,2016
New England,Miami,01/01/2017,John Parry,16,137,7,64,9,73,18,17,2016
Chicago,Minnesota,01/01/2017,Terry McAulay,8,64,6,49,2,15,10,17,2016
Buffalo,N.Y. Jets,01/01/2017,Jeff Triplette,2,15,0,0,2,15,4,17,2016
Dallas,Philadelphia,01/01/2017,Walt Coleman,9,96,5,35,4,61,11,17,2016
Cleveland,Pittsburgh,01/01/2017,John Hussey,14,80,5,37,9,43,15,17,2016
Carolina,Tampa Bay,01/01/2017,Carl Cheffers,9,75,4,45,5,30,10,17,2016
Houston,Tennessee,01/01/2017,Bill Vinovich,13,85,6,35,7,50,14,17,2016
N.Y. Giants,Washington,01/01/2017,Gene Steratore,10,84,5,42,5,42,11,17,2016
Oakland,Denver,01/01/2017,Brad Allen,18,168,13,125,5,43,19,17,2016
Arizona,LA Rams,01/01/2017,Craig Wrolstad,13,112,4,51,9,61,16,17,2016
Kansas City,San Diego,01/01/2017,Walt Anderson,14,69,4,19,10,50,16,17,2016
Seattle,San Francisco,01/01/2017,Tony Corrente,8,59,4,34,4,25,8,17,2016
Kansas City,New England,09/07/2017,Bill Vinovich,21,194,15,139,6,55,26,1,2017
N.Y. Jets,Buffalo,09/10/2017,John Hussey,11,112,5,62,6,50,14,1,2017
Atlanta,Chicago,09/10/2017,Jeff Triplette,12,113,8,73,4,40,12,1,2017
Baltimore,Cincinnati,09/10/2017,Walt Coleman,20,151,11,85,9,66,22,1,2017
Pittsburgh,Cleveland,09/10/2017,Craig Wrolstad,17,205,13,144,4,61,17,1,2017
Arizona,Detroit,09/10/2017,Walt Anderson,17,155,7,55,10,100,25,1,2017
Jacksonville,Houston,09/10/2017,Tony Corrente,19,183,10,89,9,94,19,1,2017
Oakland,Tennessee,09/10/2017,Jerome Boger,10,98,5,49,5,49,10,1,2017
Philadelphia,Washington,09/10/2017,Brad Allen,10,91,8,76,2,15,12,1,2017
Indianapolis,LA Rams,09/10/2017,Ron Torbert,11,70,4,20,7,50,16,1,2017
Seattle,Green Bay,09/10/2017,John Parry,16,120,8,50,8,70,24,1,2017
Carolina,San Francisco,09/10/2017,Clete Blakeman,15,114,5,40,10,74,17,1,2017
N.Y. Giants,Dallas,09/10/2017,Carl Cheffers,11,105,6,55,5,50,12,1,2017
New Orleans,Minnesota,09/11/2017,Gene Steratore,11,102,6,52,5,50,15,1,2017
LA Chargers,Denver,09/11/2017,Terry McAulay,7,102,4,40,3,62,9,1,2017
Houston,Cincinnati,09/14/2017,Clete Blakeman,16,106,9,61,7,45,18,2,2017
Cleveland,Baltimore,09/17/2017,Gene Steratore,18,110,11,65,7,45,20,2,2017
Buffalo,Carolina,09/17/2017,Walt Coleman,11,84,5,44,6,40,12,2,2017
Arizona,Indianapolis,09/17/2017,Carl Cheffers,14,111,6,41,8,70,19,2,2017
Tennessee,Jacksonville,09/17/2017,Ed Hochuli,17,169,7,70,10,99,18,2,2017
Philadelphia,Kansas City,09/17/2017,Terry McAulay,9,70,4,30,5,40,13,2,2017
New England,New Orleans,09/17/2017,Craig Wrolstad,14,101,9,66,5,35,15,2,2017
Minnesota,Pittsburgh,09/17/2017,Pete Morelli,21,203,11,131,10,72,25,2,2017
Chicago,Tampa Bay,09/17/2017,Ron Torbert,12,93,8,59,4,34,13,2,2017
Miami,LA Chargers,09/17/2017,Tony Corrente,11,79,5,23,6,56,14,2,2017
N.Y. Jets,Oakland,09/17/2017,Jeff Triplette,14,126,5,47,9,79,14,2,2017
Dallas,Denver,09/17/2017,Brad Allen,16,130,8,69,8,61,20,2,2017
Washington,LA Rams,09/17/2017,Jerome Boger,11,100,4,25,7,75,18,2,2017
San Francisco,Seattle,09/17/2017,Bill Vinovich,15,137,6,66,9,71,17,2,2017
Green Bay,Atlanta,09/17/2017,Walt Anderson,16,104,10,70,6,34,19,2,2017
Detroit,N.Y. Giants,09/18/2017,John Parry,13,100,6,50,7,50,14,2,2017
LA Rams,San Francisco,09/21/2017,Jeff Triplette,17,107,7,52,10,55,20,3,2017
Baltimore,Jacksonville,09/24/2017,Pete Morelli,19,158,10,88,9,70,21,3,2017
Denver,Buffalo,09/24/2017,Carl Cheffers,18,148,10,79,8,69,19,3,2017
New Orleans,Carolina,09/24/2017,Bill Vinovich,2,15,1,10,1,5,3,3,2017
Pittsburgh,Chicago,09/24/2017,Clete Blakeman,16,113,6,40,10,73,19,3,2017
Atlanta,Detroit,09/24/2017,Walt Coleman,17,166,8,68,9,98,21,3,2017
Cleveland,Indianapolis,09/24/2017,Ed Hochuli,21,212,10,113,11,99,22,3,2017
Tampa Bay,Minnesota,09/24/2017,John Hussey,12,90,7,37,5,53,18,3,2017
Houston,New England,09/24/2017,John Parry,15,129,10,60,5,69,17,3,2017
Miami,N.Y. Jets,09/24/2017,Terry McAulay,18,145,8,51,10,94,21,3,2017
N.Y. Giants,Philadelphia,09/24/2017,Jerome Boger,19,240,10,137,9,103,22,3,2017
Seattle,Tennessee,09/24/2017,Ron Torbert,16,143,11,98,5,45,27,3,2017
Cincinnati,Green Bay,09/24/2017,Gene Steratore,11,101,7,68,4,33,13,3,2017
Kansas City,LA Chargers,09/24/2017,Walt Anderson,21,183,13,122,8,61,25,3,2017
Oakland,Washington,09/24/2017,Tony Corrente,14,112,4,35,10,77,17,3,2017
Dallas,Arizona,09/25/2017,Craig Wrolstad,15,126,9,76,6,50,17,3,2017
Chicago,Green Bay,09/28/2017,John Hussey,15,117,8,62,7,55,18,4,2017
New Orleans,Miami,10/01/2017,Ed Hochuli,19,161,8,71,11,90,26,4,2017
Buffalo,Atlanta,10/01/2017,Terry McAulay,13,100,9,55,4,45,15,4,2017
Pittsburgh,Baltimore,10/01/2017,Walt Anderson,14,115,8,60,6,55,18,4,2017
Cincinnati,Cleveland,10/01/2017,Ron Torbert,12,94,8,66,4,28,14,4,2017
LA Rams,Dallas,10/01/2017,Clete Blakeman,11,86,7,41,4,45,15,4,2017
Tennessee,Houston,10/01/2017,Jeff Triplette,9,108,6,88,3,20,14,4,2017
Detroit,Minnesota,10/01/2017,Bill Vinovich,8,70,6,60,2,10,9,4,2017
Carolina,New England,10/01/2017,Jerome Boger,8,88,1,33,7,55,9,4,2017
Jacksonville,N.Y. Jets,10/01/2017,Gene Steratore,16,117,6,47,10,70,17,4,2017
San Francisco,Arizona,10/01/2017,Tony Corrente,23,193,13,113,10,80,26,4,2017
Philadelphia,LA Chargers,10/01/2017,Carl Cheffers,18,97,9,58,9,39,20,4,2017
N.Y. Giants,Tampa Bay,10/01/2017,Craig Wrolstad,5,19,1,0,4,19,10,4,2017
Oakland,Denver,10/01/2017,John Parry,13,115,7,75,6,40,18,4,2017
Indianapolis,Seattle,10/01/2017,Brad Allen,11,76,5,31,6,45,15,4,2017
Washington,Kansas City,10/02/2017,Walt Coleman,10,59,7,44,3,15,12,4,2017
New England,Tampa Bay,10/05/2017,Carl Cheffers,21,178,12,108,9,70,22,5,2017
Buffalo,Cincinnati,10/08/2017,Pete Morelli,12,142,6,71,6,71,13,5,2017
N.Y. Jets,Cleveland,10/08/2017,Walt Anderson,15,140,9,80,6,60,17,5,2017
Carolina,Detroit,10/08/2017,Craig Wrolstad,12,110,11,100,1,10,18,5,2017
San Francisco,Indianapolis,10/08/2017,Walt Coleman,17,139,10,77,7,62,18,5,2017
Tennessee,Miami,10/08/2017,Bill Vinovich,16,100,11,77,5,23,19,5,2017
LA Chargers,N.Y. Giants,10/08/2017,Jeff Triplette,21,154,11,87,10,67,27,5,2017
Arizona,Philadelphia,10/08/2017,John Hussey,12,121,7,61,5,60,14,5,2017
Jacksonville,Pittsburgh,10/08/2017,John Parry,9,56,4,19,5,37,11,5,2017
Seattle,LA Rams,10/08/2017,Gene Steratore,12,85,7,40,5,45,14,5,2017
Baltimore,Oakland,10/08/2017,Brad Allen,4,29,1,5,3,24,4,5,2017
Green Bay,Dallas,10/08/2017,Terry McAulay,13,108,6,38,7,70,16,5,2017
Kansas City,Houston,10/08/2017,Ron Torbert,13,123,6,64,7,59,17,5,2017
Minnesota,Chicago,10/09/2017,Jerome Boger,17,124,9,69,8,55,20,5,2017
Philadelphia,Carolina,10/12/2017,Pete Morelli,11,127,10,126,1,1,14,6,2017
Miami,Atlanta,10/15/2017,John Hussey,10,115,4,42,6,73,13,6,2017
Chicago,Baltimore,10/15/2017,Ed Hochuli,13,113,5,44,8,69,15,6,2017
Cleveland,Houston,10/15/2017,Brad Allen,15,116,11,72,4,44,19,6,2017
Green Bay,Minnesota,10/15/2017,Ron Torbert,15,157,8,92,7,65,17,6,2017
Detroit,New Orleans,10/15/2017,Jeff Triplette,20,164,7,46,13,118,24,6,2017
New England,N.Y. Jets,10/15/2017,Tony Corrente,12,114,6,45,6,69,14,6,2017
San Francisco,Washington,10/15/2017,John Parry,12,83,7,40,5,43,13,6,2017
Tampa Bay,Arizona,10/15/2017,Gene Steratore,16,110,9,49,7,61,19,6,2017
LA Rams,Jacksonville,10/15/2017,Walt Coleman,12,110,7,70,5,40,13,6,2017
Pittsburgh,Kansas City,10/15/2017,Carl Cheffers,13,105,6,57,7,48,15,6,2017
LA Chargers,Oakland,10/15/2017,Clete Blakeman,9,72,4,32,5,40,10,6,2017
N.Y. Giants,Denver,10/15/2017,Bill Vinovich,10,123,5,77,5,46,13,6,2017
Indianapolis,Tennessee,10/16/2017,Walt Anderson,9,96,5,51,4,45,11,6,2017
Kansas City,Oakland,10/19/2017,Craig Wrolstad,18,205,8,108,10,97,19,7,2017
Tampa Bay,Buffalo,10/22/2017,Clete Blakeman,9,90,5,55,4,35,10,7,2017
Carolina,Chicago,10/22/2017,Walt Anderson,9,75,4,35,5,40,10,7,2017
Tennessee,Cleveland,10/22/2017,Terry McAulay,17,116,5,35,12,81,19,7,2017
New Orleans,Green Bay,10/22/2017,Jerome Boger,15,134,7,80,8,54,20,7,2017
Jacksonville,Indianapolis,10/22/2017,Jeff Triplette,9,89,4,34,5,55,11,7,2017
Arizona,LA Rams,10/22/2017,Brad Allen,16,110,10,65,6,45,20,7,2017
